Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
card_berry_name		Berry	Bes	Baies	Bacca	Beere	Baya	Baga	Owoce Leśne	浆果	莓果	ベリー	딸기
card_berrybush_description		A bush with delicious berries in it	Een struik met heerlijke Bessen erin	Buisson abritant de délicieuses baies	Un cespuglio con delle bacche deliziose.	Ein Busch mit köstlichen Beeren daran	Un arbusto que da deliciosas bayas.	Arbusto contendo bagas deliciosas.	Krzaczor pełen pysznych owoców	长有美味浆果的灌木	長著美味藍莓的灌木	美味しそうなベリーの茂み	맛있는 딸기가 열려있는 나무
card_berrybush_name		Berry Bush	Bessenstruik	Buisson	Cespuglio di bacche	Beerenstrauch	Arbusto de bayas	Arbusto	Krzak z Owocami Leśnymi	浆果灌木	莓果灌木	ベリーの木	딸기나무
card_berrybush_status		Picking Berry Bush	Bessenstruik aan 't plukken	Cueillette en cours	Sto raccogliendo dal Cespuglio di bacche	Beerenstrauch pflücken	Recolectando arbusto de bayas	Coletando do Arbusto	Zbiera owoce z Krzaka	采摘浆果灌木	正在採摘莓果灌木	ベリーを摘む	딸기나무 채취 중
card_bone_description		Fact: a skeleton consists of many of these	Feit: een Skelet bestaat uit heel veel Botten	Le saviez-vous : un squelette en comporte plusieurs	Fatto: uno scheletro è composto da molti di questi.	Fakt: Ein Skelett besteht aus vielen hiervon:	Dato curioso: un esqueleto tiene muchos de estos.	Fato: esqueletos são formados por muitos destes.	Ciekawostka: szkielet ma ich wiele	事实：骨架就是由很多这种东西组成的	事實：骷髏是由很多的這個所組成	マメ知識：骨が集まってスケルトンになるんだって	사실: 스켈레톤은 다수의 이것으로 구성되어 있음
card_bone_name		Bone	Bot	Os	Osso	Knochen	Hueso	Osso	Kość	骨头	骨頭	ホネ	뼈
card_brick_description		A strong building material	Sterk bouwmateriaal	Matériau de construction résistant	Un robusto materiale da costruzione.	Stabiles Baumaterial	Material de construcción resistente.	Um material de construção resistente.	Porządny materiał budowlany	坚固的建筑材料	堅固的建材	丈夫な建材	튼튼한 건축자재
card_brick_name		Brick	Baksteen	Brique	Mattone	Ziegel	Ladrillo	Tijolo	Cegła	砖块	磚塊	レンガ	벽돌
card_brickyard_description		Quickly turns Stone into Bricks	Verandert Steen snel in Baksteen	Transforme la Pierre en Brique	Trasforma rapidamente la pietra in mattoni.	Macht aus Steinen schnell Ziegel	Convierte piedra en ladrillos.	Transforma rapidamente Pedra em Tijolos.	Szybko przerabia Kamień na Cegły	快速将石头变成砖块	快速地將石頭變成磚塊	短時間で石をレンガに加工できる	빠르게 석재를 벽돌로 변환
card_brickyard_name		Brickyard	Baksteenfabriek	Briqueterie	Mattonificio	Ziegelei	Fábrica de ladrillos	Olaria	Cegielnia	砖厂	磚廠	レンガ工房	벽돌 공장
card_campfire_description		Can be used to cook foods - it looks warm & cozy	Kan gebruikt worden om voedsel te koken - erg gezellig!	Peut servir à cuire de la nourriture ou à se réchauffer	Può essere usato per cucinare cibi: sembra caldo e accogliente.	Praktisch zum Kochen von Nahrung – sieht warm & gemütlich aus	Proporciona calor y sirve para cocinar.	Use para esquentar comida. Fornece calor e conforto.	Ciepłe i przytulne. Można na nim gotować	可以用来烹饪食物——它看起来温暖舒适	可以用來煮食物－看起來溫暖又舒服	食べ物の調理ができる。暖かくて心地よさそうだ	음식을 요리할 때 사용 가능. 따뜻하고 아늑해 보임
card_campfire_name		Campfire	Kampvuur	Feu de camp	Falò	Lagerfeuer	Hoguera	Fogueira	Ognisko	篝火	營火	キャンプファイア	모닥불
card_carrot_description		The crunchiest vegetable	De knapperigste groente	Le légume le plus croquant	La verdura più croccante.	Das knackigste Gemüse	La hortaliza más crujiente.	Vegetal bem crocante.	Najbardziej chrupiące z warzyw	最脆的蔬菜	最鮮脆的蔬菜	パリ、ポリ、歯応えの良い野菜	아삭아삭한 야채
card_carrot_name		Carrot	Wortel	Carotte	Carota	Karotte	Zanahoria	Cenoura	Marchewka	胡萝卜	胡蘿蔔	ニンジン	당근
card_catacombs_description		Rumored to contain a mysterious object	Er gaan geruchten dat er iets mysterieus in zit	On raconte qu'elles renferment un mystérieux objet	Si dice contengano un oggetto misterioso.	Es heißt, sie enthalten ein mysteriöses Objekt	Se rumorea que contiene un objeto misterioso.	Dizem que guardam um objeto misterioso.	Ponoć ukryto w nich tajemniczy przedmiot	据说里面有个神秘的东西	謠傳裡面有一個神祕物品	噂では謎のアイテムが眠っているらしい	신비한 물건이 들어 있다는 소문이 있음
card_catacombs_name		Catacombs	Catacomben	Catacombes	Catacombe	Katakomben	Catacumbas	Catacumbas	Katakumby	地下墓穴	地下墓穴	地下墓地	지하 묘지
card_catacombs_status		Exploring Catacombs	Catacomben aan 't verkennen	Exploration des Catacombes	Sto esplorando le Catacombe	Katakomben erkunden	Explorando las catacumbas	Explorando as Catacumbas	Odkrywa Katakumby	探索地下墓穴	正在探索地下墓穴	地下墓地を探索する	지하 묘지 탐험 중
card_chicken_description		Alleged descendent of dinosaurs. I don't see it	Schijnt van dinosaurussen af te stammen. Ik zie het niet hoor	Censée être la descendante des dinosaures, mais c'est louche	Dicono discenda dai dinosauri, ma io non ci credo.	Soll vom Dinosaurier abstammen. Das sehe ich nicht	Supuesta descendiente de los dinosaurios, aunque parezca imposible.	Supostamente descendem dos dinossauros. Vai entender...	Pochodzi od dinozaurów. Podobno	据说是恐龙的后代。我看不出来	聲稱是恐龍的後代。看不出來	誰かが恐竜の子孫って言っていたが、どこが？	공룡의 후손으로 추정. 믿기는 힘들지만...
card_chicken_name		Chicken	Kip	Poule	Gallina	Huhn	Gallina	Galinha	Kurczak	鸡	雞	ニワトリ	닭
card_cooked_meat_description		It's cooked medium rare	Medium-rare gebakken	Se cuisine saignant	È cotta al sangue.	Es ist halb durch	Está poco hecha.	Perfeitamente ao ponto.	Średnio wysmażone	是五分熟的	熟度五分熟	ミディアムレアのジューシーな焼き加減がたまらない	미디엄 레어로 요리되어 있음
card_cooked_meat_name		Cooked Meat	Gebakken vlees	Viande cuite	Carne cotta	Gegrilltes Fleisch	Carne cocinada	Carne Assada	Gotowane Mięso	熟肉	烤肉	焼いた肉	익힌 고기
card_corpse_description		A dead human	Een dood mens	Humain mort	Un umano morto.	Ein toter Mensch	Un humano muerto.	Um homem morto.	Martwy człowiek	一个死去的人	死亡的人類	誰かの亡骸	죽은 사람
card_corpse_name		Corpse	Lijk	Cadavre	Cadavere	Leiche	Cadáver	Cadáver	Truposz	尸体	屍體	死体	시체
card_cow_description		MOOOOOO!	Boeeeeee!	MEUH !	MUUUUUUU!	MUUUH!	¡MUUUUUU!	MUUUUUUU!	MUUUUUU!	哞哞！	哞～～～！	モ～～～～！	음머어어!
card_cow_name		Cow	Koe	Vache	Mucca	Kuh	Vaca	Vaca	Krowa	牛	母牛	ウシ	소
card_demon_description		The Final Boss	De eindbaas	Boss final	Il Boss finale.	Der Endgegner	El jefe final.	O chefão final.	Ostatni boss	最终BOSS	最終頭目	ラスボス	최종 보스
card_demon_name		Demon	Demon	Démon	Demone	Dämon	Demonio	Demônio	Demon	恶魔	惡魔	デーモン	악마
card_dog_description		Humanity's true best friend. Can do anything a Human can, just slower!	Trouwe viervoeter. Doet alles wat een mens doet, maar dan trager!	Le véritable meilleur ami de l'homme. Peut faire comme les humains, mais plus lentement !	Il vero migliore amico dell'uomo. Può fare tutto ciò che può fare un umano, solo più lentamente!	Der wahre beste Freund des Menschen. Kann alles, was ein Mensch auch kann, nur langsamer!	El mejor amigo del hombre. Hace las mismas cosas que un humano, ¡pero más despacio!	O melhor amigo do homem. Pode fazer tudo o que um humano pode, porém mais lento!	Najlepszy przyjaciel Człowieka. Robi wszystko, co on... tylko wolniej!	人类最好的朋友。可以做任何人类能做的事，只是慢一点！	人類真正最好的朋友。人做的事情牠都能做，只是比較慢！	人類の真の友達。人のできる事は何だってできる。数倍遅いけどね！	인류의 가장 친한 친구. 사람이 할 수 있는 모든 것을 할 수 있지만 느림!
card_dog_name		Dog	Hond	Chien	Cane	Hund	Perro	Cão	Piesek	狗	狗	イヌ	개
card_egg_description		Can't be eaten raw: thanks salmonella	Kun je niet rauw eten; bedankt salmonella	Ne peut pas être mangé cru : attention à la salmonellose	Non si può mangiare crudo: grazie, salmonella.	Kann nicht roh gegessen werden: dank Salmonellen	No se puede comer crudo (gracias, salmonelosis).	Não pode ser consumido cru. Valeu salmonela!	Na surowo niejadalne. Dzięki, salmonello	不能生吃：谢谢沙门氏菌	不能生吃：多虧沙門氏菌	生食危険。サルモネラには気を付けて	생으로 먹을 수 없음. 살모넬라균만 아니었어도...
card_egg_name		Egg	Ei	Œuf	Uovo	Ei	Huevo	Ovo	Jajko	蛋	雞蛋	タマゴ	계란
card_explorer_description		Very fast at exploring Locations, but slightly slower at other tasks	Heel snel in het verkennen van locaties, maar ietsje langzamer met andere taken	Peut explorer très rapidement des Lieux, mais effectue les autres tâches plus lentement	Velocissimo a esplorare i luoghi, ma un po' più lento in altre attività.	Sehr schnell im Erkunden von Orten, aber langsamer bei anderen Aufgaben	Explora ubicaciones con rapidez, pero realiza otras tareas más despacio.	Explora Locais rapidamente, mas é mais devagar em outras tarefas.	Szybko odkrywa Lokacje, ale wolniej radzi sobie z innymi zadaniami	探索地点非常快，但在其他任务时会慢一点	探險地區的速度相當快，但是在執行其他任務上較慢	土地の探索には向いているが、その他の作業は若干遅い	위치 탐색은 매우 빠르지만 다른 작업은 다소 느림
card_explorer_name		Explorer	Verkenner	Explorateur	Esploratore	Entdecker	Explorador	Explorador	Odkrywca	探索者	探險者	探索者	탐험가
card_farm_description		An advanced building for growing Food	Een geavanceerd gebouw om voedsel te laten groeien	Bâtiment avancé où cultiver de la Nourriture	Un edificio avanzato per la coltivazione del Cibo.	Fortschrittliches Gebäude zum Anbau von Nahrung	Una construcción avanzada para cultivar vegetales.	Construção avançada para cultivar Comida.	Zaawansowany budynek do uprawy Jedzenia	用于种植食物的高级建筑	種植食物的高級建築	作物を育てる上級設備	식량 재배를 위한 고급 건물
card_farm_name		Farm	Boerderij	Ferme	Fattoria	Bauernhof	Granja	Fazenda	Farma	农场	農場	農場	농장
card_flint_description		Used to start fires	Gebruikt om vuur mee te maken	Pratique pour faire du feu	Serve ad accendere il fuoco.	Zum Anzünden eines Feuers	Sirve para prender fuego.	Use para fazer fogo.	Pozwala rozpalić ogień	用来生火	用來生火	これで火を起こそう	불을 피우는 데 사용
card_flint_name		Flint	Vuursteen	Silex	Pietra focaia	Feuerstein	Pedernal	Pederneira	Krzemień	火石	打火石	火打石	부싯돌
card_forest_description		A quaint place that also contains monsters	Een rustgevende plek waar ook monsters dwalen	Endroit pittoresque mais attention aux monstres	Un luogo caratteristico che contiene anche dei mostri.	Ein idyllischer Ort, an dem auch Monster leben	Un lugar fascinante en el que te encontrarás monstruos.	Local pitoresco onde também habitam monstros.	Ciche miejsce z potworami	一个奇怪的地方，也有怪物	同樣有怪物出沒的古怪地方	静けさ漂う森の中にはモンスターの気配も	괴물도 있는 기이한 장소
card_forest_name		Forest	Bos	Forêt	Foresta	Wald	Bosque	Floresta	Las	森林	森林	森林	숲
card_forest_status		Exploring Forest	Bos aan 't verkennen	Exploration de la Forêt	Sto esplorando la Foresta	Wald erkunden	Explorando el bosque	Explorando a Floresta	Odkrywa Las	探索森林	正在探索森林	森林を探索する	숲 탐험 중
card_frittata_description		Delicious! Eat it with a fork	Heerlijk! Eet het met een vork	Délicieux ! À manger avec une fourchette	Deliziosa! Mangiala con una forchetta.	Köstlich! Iss sie mit einer Gabel	¡Qué delicia! Se come con un tenedor.	Uma delícia! Coma com um garfo.	Pycha! Nie zapomnij o widelcu	好吃！用叉子吃	真好吃！要用叉子吃	ウマい！そんなにがっつかないで	맛있다! 포크로 먹음
card_frittata_name		Frittata	Frittata	Quiche	Frittata	Frittata	Tortilla	Frittata	Frittata	煎蛋饼	義式烘蛋	フリッタータ	프리타타
card_fruit_salad_description		A classic ancient food	Een typische ouderwetse maaltijd	Jolie, jolie, jolie	Un classico cibo antico.	Klassische, alte Mahlzeit	Clásica comida milenaria.	Uma refeição clássica e antiga.	Starożytny klasyk	一种经典的古老食物	經典的古代食物	古代食の定番	옛날부터 내려오는 정통 음식
card_fruit_salad_name		Fruit Salad	Fruitsalade	Salade de fruits	Macedonia	Obstsalat	Macedonia	Salada de Fruta	Sałatka Owocowa	水果沙拉	水果沙拉	フルーツサラダ	과일 샐러드
card_garden_description		A simple building for growing Food	Een eenvoudig gebouw om voedsel te laten groeien	Bâtiment basique où cultiver de la Nourriture	Un semplice edificio per la coltivazione del Cibo.	Einfaches Gebäude zum Anbau von Nahrung	Una construcción sencilla para cultivar vegetales.	Construção simples para cultivar Comida.	Prosty budynek, w którym rośnie Jedzenie	用于种植食物的简单建筑	種植食物的簡單建築	作物を育てる簡単な設備	식량 재배를 위한 단순한 건물
card_garden_name		Garden	Tuin	Jardin	Giardino	Garten	Jardín	Horta	Ogród	花园	花園	農園	정원
card_giant_rat_description		Big version of a small Rat	Grote versie van de kleine Rat	Comme un Rat, mais en plus grand	Versione grande di un piccolo Ratto.	Große Version einer kleinen Ratte	Una versión más grande la rata pequeña.	A versão maior do Rato pequeno.	Duża wersja małego Szczura	小老鼠的巨大版	小老鼠的放大版	小さなネズミの大きいやつだ	작은 쥐의 큰 버전
card_giant_rat_name		Giant Rat	Gigantische rat	Gros rat	Ratto gigante	Riesenratte	Rata gigante	Rato Gigante	Gigantyczny Szczur	巨鼠	巨鼠	ジャイアント ラット	거대 쥐
card_goblet_description		A mysterious object	Een mysterieus object	Objet mystérieux	Un oggetto misterioso.	Ein mysteriöses Objekt	Un objeto misterioso.	Um objeto misterioso.	Tajemniczy przedmiot	神秘的东西	神祕物品	とても神秘的だ	신비한 물건
card_goblet_name		Golden Goblet	Gouden beker	Coupe en or	Calice d'oro	Goldener Kelch	Cáliz de oro	Cálice de Ouro	Złota Czara	黄金圣杯	金杯	金の聖杯	황금 술잔
card_goblin_description		A monster with bad posture	Een monster met een slechte lichaamshouding	Monstre à la posture catastrophique	Un mostro con una cattiva postura.	Ein Monster mit einer schlechten Haltung	Un monstruo con una mala postura.	Monstro com uma postura terrível.	Potwór ze skoliozą	姿势不好的怪物	姿勢不好看的怪物	随分と姿勢の悪いモンスターだな	나쁜 자세를 하고 있는 괴물
card_goblin_name		Goblin	Goblin	Gobelin	Goblin	Kobold	Goblin	Goblin	Goblin	小妖精	哥布林	ゴブリン	고블린
card_gold_description		Humanity's best friend	De beste vriend van de mensheid	Le meilleur ami de l'homme	La migliore amica dell'umanità.	Der beste Freund des Menschen	El mejor amigo del hombre.	Não gaste tudo em bala.	Najlepszy przyjaciel ludzkości	人类最好的朋友	人類最好的朋友	天下の回り者	인류와 가장 친한 친구
card_gold_name		Coin	Munt	Pièce	Moneta	Münze	Moneda	Moeda	Moneta	硬币	金幣	コイン	코인
card_graveyard_description		Very different from a normal yard	Heel anders dan een normale plaats	Lieu calme et paisible (en apparence)	Decisamente diverso da un normale cortile.	Ganz anders als ein normaler Hof	No sirve para guardar cemento precisamente.	Sinistro...	Smętne miejsce	和普通的院子很不一样	跟一般的墓園很不一樣	薄気味悪い所だ	엄숙한 기분이 드는 장소
card_graveyard_name		Graveyard	Begraafplaats	Cimetière	Cimitero	Friedhof	Cementerio	Cemitério	Cmentarz	墓地	墓園	墓場	묘지
card_graveyard_status		Exploring Graveyard	Begraafplaats aan 't verkennen	Exploration du Cimetière	Sto esplorando il Cimitero	Friedhof erkunden	Explorando el cementerio	Explorando o Cemitério	Odkrywa Cmentarz	探索墓地	正在探索墓園	墓場を探索する	묘지 탐험 중
card_house_description		A nice place to live	Nu nog een boompje en een beestje	Endroit chaleureux où vivre	Un bel posto in cui vivere.	Ein schöner Ort zum Leben	Un lugar agradable para vivir.	Um bom lugar para morar.	Fajnie tam mieszkać	一个居住的好地方	適合居住的好地方	いつかはマイホーム	살기 좋은 곳
card_house_name		House	Huis	Maison	Casa	Haus	Casa	Casa	Dom	房子	房子	家	집
card_iron_bar_description		A shiny, valuable material	Glanzend, waardevol materiaal	Matériau brillant et précieux	Un materiale brillante e prezioso.	Glänzendes, wertvolles Material	Material brillante y valioso.	Material valioso e brilhante.	Lśniący i cenny materiał	一种闪亮的、有价值的材料	有光澤的值錢原料	貴重な素材だ	빛나고 가치있는 물질
card_iron_bar_name		Iron Bar	IJzerstaaf	Lingot de fer	Sbarra di ferro	Eisenstange	Barra de hierro	Barra de Ferro	Sztabka Żelaza	铁条	鐵條	鉄の延べ棒	철괴
card_iron_deposit_description		Contains Iron Ore	Bevat IJzererts	Contient du Minerai de fer	Contiene Minerale di ferro.	Enthält Eisenerz	Contiene mineral de hierro.	Contém Minério de Ferro	Zawiera Rudę Żelaza	含有铁矿石	含有鐵礦	鉄鉱石を掘れるぞ	철광석이 들어 있음
card_iron_deposit_name		Iron Deposit	IJzerafzetting	Gisement de fer	Giacimento di ferro	Eisenvorkommen	Depósito de hierro	Depósito de Ferro	Złoże Żelaza	铁矿床	鐵礦床	鉄の鉱床	철광상
card_iron_deposit_status		Punching Deposit	IJzerafzetting aan 't slaan	Exploitation du Gisement	Sto colpendo il Giacimento	Vorkommen abbauen	Golpeando depósito	Esmurrando o Depósito	Wali w Złoże	挖掘铁矿床	正在用力敲打鐵礦床	鉄鉱石を採掘する	철광상 채취 중
card_iron_ore_description		Can be turned into Iron Bars	Kan omgezet worden in IJzerstaven	Peut être transformé en Lingot de fer	Può essere trasformato in Sbarre di ferro.	Kann zu Eisenstangen verarbeitet werden	Se puede procesar para obtener barras de hierro.	Pode ser transformado em Barras de Ferro.	Można przerobić ją na Sztabki	可以做成铁条	可以變成鐵條	鉄の延べ棒に精製できるぞ	철괴로 변환 가능
card_iron_ore_name		Iron Ore	IJzererts	Minerai de fer	Minerale di ferro	Eisenerz	Mineral de hierro	Minério de Ferro	Ruda Żelaza	铁矿石	鐵礦	鉄鉱石	철광석
card_key_description		I wonder what it's for..	Waar zou deze voor zijn?	Je me demande ce qu'elle peut ouvrir…	Chissà a cosa serve...	Wofür der wohl ist …	Para qué será...	Me pergunto o que ela abre...	Ciekawe co otwiera...	我想知道这是干什么用的……	我想知道這用來做什麼......	この鍵は一体どこに...	어디에 사용하는 것일까...
card_key_name		Key	Sleutel	Clé	Chiave	Schlüssel	Llave	Chave	Klucz	钥匙	鑰匙	鍵	열쇠
card_kid_description		A young'un. Needs a House to grow up in.	Een jonkie. Heeft een Huis nodig om in op te groeien.	Un enfant ; il a besoin d'une Maison où grandir	Un ragazzino. Ha bisogno di una casa in cui crescere.	Kleiner Mensch. Braucht ein Haus, um aufzuwachsen	Criaturita que necesita una casa para crecer.	Recém-nascido. Precisa de uma Casa para crescer.	Mały człowiek. Nie rośnie poza domem	一个小家伙。需要有房子才能长大。	小孩子。需要在房子裡長大。	生まれたてホヤホヤ。育てるには家が必要だ	매우 어린 존재. 지낼 집이 필요하다.
card_kid_name		Baby	Baby	Bébé	Bambino	Baby	Bebé	Bebê	Bobas	婴儿	嬰兒	赤ちゃん	아기
card_lumbercamp_description		An unlimited resource of Wood	Een onbeperkte bron van Hout	Ressource illimitée en Bois	Una fonte illimitata di Legno.	Ein unbegrenztes Holzvorkommen	Un recurso ilimitado de madera.	Uma fonte ilimitada de Madeira.	Źródło nieskończonego Drewna	无限的木材资源	無限的木材資源	材木を無制限に入手できる	목재를 무한으로 공급받는 곳
card_lumbercamp_name		Lumber Camp	Houthakkerskamp	Camp de bûcherons	Deposito di legname	Holzfällerlager	Serrería	Madeireira	Obóz z Drewnem	伐木厂	木材廠	伐採場	벌목장
card_lumbercamp_status		Logging in Camp	Hout aan 't hakken	Exploitation d'un Camp	Sto tagliando la legna nel Deposito	Im Lager Holz fällen	Talando en la serrería	Obtendo Madeira	Ścina drzewa w Obozie	在伐木厂伐木	正在木材廠伐木	伐採場で伐採する	벌목장에서 작업 중
card_map_description		Use a Map to turn a Villager into an Explorer	Gebruik een Landkaart om van een Dorpeling een Verkenner te maken	Un Plan peut servir à transformer un Villageois en Explorateur	Usa una mappa per trasformare un Abitante del villaggio in un Esploratore.	Mit einer Karte wird ein Dorfbewohner zum Entdecker	Usa un mapa para convertir un aldeano en un explorador.	Use um Mapa para transformar um Aldeão em Explorador.	Użyj Mapy, by zmienić Wieśniaka w Odkrywcę	使用地图将村民转变为探索者	使用地圖將村民變成探險者	村人に地図を渡すと探索者になるぞ	지도를 사용하여 주민을 탐험가로 전환
card_map_name		Map	Landkaart	Plan	Mappa	Karte	Mapa	Mapa	Mapa	地图	地圖	地図	지도
card_market_name		Market	Markt	Marché	Mercato	Markt	Mercado	Mercado	Targ	集市	市場	市場	시장
card_militia_name		Militia	Militie	Soldat	Miliziano	Miliz	Miliciano	Soldado	Milicjant	民兵	民兵	民兵	민병대
card_milk_description		Fresh from the Cow	Vers van de Koe	Tout frais sorti de la Vache	Appena munto.	Frisch von der Kuh	Recién ordeñada.	Tirado fresquinho da Vaca.	Prosto od Krowy	刚从牛身上挤下来	來自母牛的鮮奶	搾りたて	암소로부터 얻는 신선한 음료
card_milk_name		Milk	Melk	Lait	Latte	Milch	Leche	Leite	Mleko	牛奶	牛奶	ミルク	우유
card_milkshake_description		It's Berry flavoured	Bessen-smaak	Quel délicieux parfum de Baies	È al sapore di frutti di bosco.	Mit Beerengeschmack	Sabe a bayas.	Sabor frutas vermelhas.	O smaku Owoców leśnych	是浆果味的	莓果口味的	ベリー味	딸기맛!
card_milkshake_name		Milkshake	Milkshake	Milkshake	Frappè	Milchshake	Batido	Milkshake	Koktajl Mleczny	奶昔	奶昔	ミルクシェーキ	밀크쉐이크
card_mountain_description		A hill with a pointy edge	Een heuvel met een punt	Colline avec un bout pointu	Una collina con la cima appuntita.	Ein Hügel mit einer spitzen Kuppe	Una montaña de cumbres puntiagudas.	Uma colina pontuda.	Pagórek z ostrym szczytem	有尖尖边缘的小山	有尖銳山峰的丘陵	あの山岳には何があるのだろう	끝이 뾰족한 언덕
card_mountain_name		Mountain	Berg	Montagne	Montagna	Berg	Montaña	Montanha	Góra	山	山	山	산
card_mountain_status		Exploring Mountain	Berg aan 't verkennen	Exploration de la Montagne	Sto esplorando la Montagna	Berg erkunden	Explorando montaña	Explorando a Montanha	Odkrywa Górę	探索山	正在探索山	山を探索する	산 탐험 중
card_mushroom_description		An edible fungus	Een eetbare schimmel	Mycète comestible	Un fungo commestibile.	Ein essbarer Pilz	Un hongo comestible.	Um fungo comestível.	Jest jadalny	一种可食用的真菌	可食用的菌類	食用だから安心して	식용 균류 식품
card_mushroom_name		Mushroom	Paddenstoel	Champignon	Fungo	Pilz	Seta	Cogumelo	Grzyb	蘑菇	蘑菇	キノコ	버섯
card_old_tome_description		A book with some Idea in it	Een boek met een Idee erin	Un livre renfermant une Idée	Un libro contenente un'Idea.	Ein Buch mit einer Idee darin	Un libro que contiene una idea.	Livro contendo alguma Ideia.	Książka z Pomysłem	一本写有“主意”的书	一本寫著一些點子的書	アイデアの書かれた古い書物	아이디어가 담긴 책
card_old_tome_name		Old Tome	Oud boek	Vieux grimoire	Vecchio tomo	Alter Wälzer	Tomo antiguo	Tomo Antigo	Stare Tomiszcze	旧书	古老書籍	古書	고서
card_old_tome_status		Studying Old Tome	Oud boek aan 't bestuderen	Lecture du Vieux grimoire	Sto studiando il Vecchio tomo	Alten Wälzer studieren	Estudiando tomo antiguo	Estudando o Tomo Antigo	Czyta Stare Tomiszcze	学习旧书	正在研讀古老書籍	古書を解読する	고서 학습 중
card_old_village_description		A person is rumored to still live here..	Er wordt gezegd dat hier nog steeds iemand woont...	Il paraît que quelqu'un habite encore ici…	Si dice che una persona viva ancora qui...	Es heißt, hier lebt noch jemand …	Se rumorea que todavía vive alguien aquí...	Dizem que há uma pessoa morando aqui ainda...	Podobno ktoś tam jeszcze mieszka...	据说这里还住着一个人……	據說有一個人還住在這......	噂では人がまだ住んでいるらしい...	아직 사람이 살고 있다는 소문이 있다...
card_old_village_name		Old Village	Oud dorp	Vieux village	Vecchio villaggio	Altes Dorf	Aldea antigua	Vila Antiga	Stara Wioska	老村庄	古老村莊	古寂れた村	오래된 마을
card_old_village_status		Exploring Old Village	Oud dorp aan 't verkennen	Exploration du Vieux village	Sto esplorando il Vecchio villaggio	Altes Dorf erkunden	Explorando aldea antigua	Explorando a Vila Antiga	Odkrywa Starą Wioskę	探索老村庄	正在探索古老村莊	古寂れた村を探索する	오래된 마을 탐험 중
card_omelette_description		Pépin would be proud	Een heerlijke manier om een Ei te bereiden	Impossible à faire sans casser d'œufs	Pépin sarebbe orgoglioso.	Bocuse wäre stolz	Arguiñano estaría orgulloso.	Jacquin ficaria orgulhoso.	Makłowicz byłby dumny	佩平会很骄傲的	雅克·貝潘會感到驕傲的	師匠も驚くウマさ	페핀이 자랑스러워 할지도...
card_omelette_name		Omelette	Omelet	Omelette	Omelette	Omelett	Tortilla francesa	Omelete	Omlet	煎蛋卷	煎蛋捲	オムレツ	오믈렛
