"Term"	"Notes"	"Ukrainian"
"card_old_tome_description"	""	"Книга з деякими ідеями"
"card_old_tome_name"	""	"Старий том"
"card_old_tome_status"	""	"Вивчення старого тому"
"card_old_village_description"	""	"Подейкують, що тут досі живе людина..."
"card_old_village_name"	""	"Старе селище"
"card_old_village_status"	""	"Дослідження старого селища"
"card_omelette_description"	""	"Пепін пишався б"
"card_omelette_name"	""	"Омлет"
"card_onion_description"	""	"Можна їсти сирим або можна приготувати, як вам більше подобається"
"card_onion_name"	""	"Цибуля"
"card_plains_description"	""	"Чудовий краєвид"
"card_plains_name"	""	"Рівнини"
"card_plains_status"	""	"Дослідження рівнин"
"card_plank_description"	""	"Міцний будівельний матеріал"
"card_plank_name"	""	"Дошка"
"card_poop_description"	""	"Виглядає смердючим"
"card_poop_name"	""	"Лайно"
"card_potato_description"	""	"Гладка та крохмалиста, але її слід спочатку зварити"
"card_potato_name"	""	"Картопля"
"card_quarry_description"	""	"Безкінечне родовище каменю"
"card_quarry_name"	""	"Кар'єр"
"card_quarry_status"	""	"Видобування в кар'єрі"
"card_rabbit_description"	""	"Пухнаста машинка по виробленню лайна"
"card_rabbit_name"	""	"Кролик"
"card_rat_description"	""	"Маленька версія гігантського щура"
"card_rat_name"	""	"Пацюк"
"card_raw_meat_description"	""	"Варто спочатку приготувати"
"card_raw_meat_name"	""	"Сире м'ясо"
"card_rock_description"	""	"Виглядає міцно, але легко пробивається"
"card_rock_name"	""	"Камінь"
"card_rock_status"	""	"Б'є камінь"
"card_sawmill_description"	""	"Швидко перероблює дерево в дошки"
"card_sawmill_name"	""	"Лісопильня"
"card_shed_description"	""	"Підвищує ваш ліміт карт на 4"
"card_shed_name"	""	"Сарай"
"card_skeleton_description"	""	"Монстр, що складається з набору кісток"
"card_skeleton_name"	""	"Скелет"
"card_slime_description"	""	"Три маленькі слайми в пальто"
"card_slime_name"	""	"Слайм"
"card_small_slime_description"	""	"A goodie-filled goo"
"card_small_slime_name"	""	"Маленький слайм"
"card_soil_description"	""	"Простий та повільний спосіб вирощування їжі"
"card_soil_name"	""	"Ґрунт"
"card_spear_description"	""	"Паличка із загостреним кінцем"
"card_spear_name"	""	"Спис"
"card_stew_description"	""	"Ситний обід"
"card_stew_name"	""	"Тушковане м'ясо"
"card_stick_description"	""	"Раніше була частиною дерева"
"card_stick_name"	""	"Палиця"
"card_stone_description"	""	"Простий ресурс"
"card_stone_name"	""	"Камінь"
"card_stove_description"	""	"Готує швидше, ніж багаття"
"card_stove_name"	""	"Плита"
"card_sword_description"	""	"Залізний пруток із загостреним кінцем"
"card_sword_name"	""	"Меч"
"card_swordsman_name"	""	"Мечник"
"card_temple_description"	""	"Важливе місце поклоніння. Йому потрібен таємничий артефакт."
"card_temple_name"	""	"Храм"
"card_travelling_cart_description"	""	"Дай мені 5 монет і я дам тобі карту!"
"card_travelling_cart_name"	""	"Мандрівний візок"
"card_treasure_chest_description"	""	"Вона замкнута"
"card_treasure_chest_name"	""	"Скриня скарбів"
"card_tree_description"	""	"З дерева та паличок"
"card_tree_name"	""	"Дерево"
"card_tree_status"	""	"Б'є дерево"
"card_villager_description"	""	"Працьовитий першопроходець"
"card_villager_name"	""	"Селянин"
"card_warehouse_description"	""	"Збільшує ваш ліміт карт на 14"
"card_warehouse_name"	""	"Склад"
"card_wolf_description"	""	"Виглядає зловісно"
"card_wolf_name"	""	"Вовк"
"card_wood_description"	""	"Простий ресурс"
"card_wood_name"	""	"Дерево"
"cardtype_food"	""	"Їжа"
"cardtype_ideas"	""	"Ідеї"
"cardtype_locations"	""	"Локації"
"cardtype_mobs"	""	"Істоти"
"cardtype_resources"	""	"Ресурси"
"cardtype_structures"	""	"Структури"
"idea_animalpen_status_0"	""	"Будівництво загону для тварин"
"idea_brick_status_0"	""	"Створення цеглини"
"idea_brickyard_status_0"	""	"Будівництво цегельного заводу"
"idea_campfire_status_0"	""	"Розпалення багаття"
"idea_carving_status_0"	""	"Створення палиці"
"idea_chicken_status_0"	""	"Chicken is brooding"
"idea_coinchest_status_0"	""	"Створення скрині для монет"
"idea_cookedmeat_status_0"	""	"Приготування м'яса"
"idea_farm_status_0"	""	"Будівництво ферми"
"idea_frittata_status_0"	""	"Приготування фриттати"
"idea_fruitsalad_status_0"	""	"Приготування фруктового салату"
"idea_garden_status_0"	""	"Будівництво саду"
"idea_growth_name"	""	"Садівництво"
"idea_growth_status_0"	""	"Вирощування ягідного куща"
"idea_growth_status_1"	""	"Вирощування яблуні"
"idea_growth_status_2"	""	"Вирощування моркви"
"idea_growth_status_3"	""	"Вирощування цибулі"
"idea_growth_status_4"	""	"Вирощування картоплі"
"idea_growth_status_5"	""	"Вирощування грибів"
"idea_house_status_0"	""	"Будівництво будинку"
"idea_ironweapons_status_0"	""	"Створення меча"
"idea_ironweapons_status_1"	""	"Тренування мечника"
"idea_lumbercamp_status_0"	""	"Будівництво лісозаготівельного табору"
"idea_market_status_0"	""	"Будівництво ринку"
"idea_milkshake_status_0"	""	"Приготування молочного коктейлю"
"idea_mine_status_0"	""	"Будівництво шахти"
"idea_offspring_name"	""	"Розмноження"
"idea_offspring_status_0"	""	"Створення потомства"
"idea_offspring_status_1"	""	"Створення цуценя"
"idea_omelette_status_0"	""	"Приготування омлета"
"idea_planks_status_0"	""	"Створення дошок"
"idea_quarry_status_0"	""	"Будівництво кар'єра"
"idea_sawmill_status_0"	""	"Будівництво лісопилки"
"idea_shed_status_0"	""	"Будівництво сараю"
"idea_smelting_status_0"	""	"Будівництво металургійного заводу"
"idea_smelting_status_1"	""	"Виплавка заліза"
"idea_stew_status_0"	""	"Приготування тушкованого м'яса"
"idea_stove_status_0"	""	"Будівництво плити"
"idea_temple_status_0"	""	"Будівництво храму"
"idea_warehouse_status_0"	""	"Будівництво складу"
"idea_woodenweapons_status_0"	""	"Створення спису"
"idea_woodenweapons_status_1"	""	"Тренування воїна"
"idea_woodenweapons_status_2"	""	"Тренування дослідника"
"ideagroup_basic"	""	"Базові"
"ideagroup_building"	""	"Будівлі"
"ideagroup_cooking"	""	"Кулінарія"
"ideagroup_military"	""	"Військові"
"ideagroup_resources"	""	"Ресурси"
"label_an_idea"	""	"Ідея"
"label_back"	""	"Назад"
"label_back_to_menu"	""	"Назад в меню"
"label_buy_packs_to_find_idea"	""	"Придбайте пакунки, щоб знайти цю ідею"
"label_cant_be_sold"	""	"Неможливо продати"
"label_card_not_found"	""	"Картку ще не знайдено"
"label_cardopedia"	"The in-game encyclopedia for cards"	"Картопедія"
"label_cards_found"	""	"Карток знайдено: [found]/[total]"
"label_cards_infobox"	""	"Ваша максимальна кількість карт - [max_card_count]. Ви маєте [card_count] [cardicon] (Не включаючи монети)"
"label_cards_infobox_warning"	""	"У вас забагато [cardicon]. Позбудьтеся карт або вам прийдеться їх продати наприкінці дня!"
"label_clear_save"	""	"Очистити збереження"
"label_clear_save_confirm"	""	"Ви впевнені, що хочете очистити своє збереження?"
"label_click_this_pack"	""	"Клацність на пакунок, щоб отримати карти!"
"label_coin_infobox_text"	""	"Загальна кількість монет, які ви маєте"
"label_coin_infobox_title"	""	"Монети"
"label_combat_speed"	""	"Швидкість атаки:"
"label_complete_more_quests"	""	"<one>Завершіть 1 чи більше доручень, щоб розблокувати новий пакунок!<other>Виконайте ще [remaining] доручень, щоб відкрити розблокувати пакунок!"
"label_complete_more_quests_for_pack"	""	"<one>Виконайте 1 чи більше доручень, щоб розблокувати цей пакунок!<other>Виконайте ще [remaining] доручень, щоб розблокувати цей пакунок!"
"label_completed_main_quest"	""	"Ви виконали головне завдання!"
"label_continue"	""	"Продовжити"
"label_continue_run"	""	"Продовжити (День [moon])"
"label_credits"	""	"Автори"
"label_damage"	""	"Шкода:"
"label_drag_coins_to_buy_pack"	""	"Перенесіть [cost][goldicon] сюди, щоб купити цей пакунок"
"label_drop_to_sell"	""	"Скиньте, щоб продати за [value]"
"label_eating"	""	"Поїдання..."
"label_end_of_moon"	""	"Кінець дня [moon]"
"label_everyone_fed"	""	"Всі були нагодовані!"
"label_everyone_starved"	""	"Всі померли з голоду!"
"label_feed_villagers"	""	"Нагодувати селян"
"label_foil"	"Term to describe a shiny card"	"(Металева)"
"label_fullscreen"	""	"На весь екран: [on_off]"
"label_game_options"	""	"Налаштування гри"
"label_game_over"	""	"Гра завершена"
"label_goblet_brought_to_temple"	""	"Чашу принесли до Храму"
"label_hit_chance"	""	"Шанс удару:"
"label_idea_fullname"	""	"Ідея: [name]"
"label_ideas"	""	"Ідеї"
"label_ideas_found"	""	"[found]/[total] ідей знайдено"
"label_keep_playing"	""	"Продовжуйте грати, щоб знайти кожну картку!"
"label_languages_title"	""	"Мови"
"label_may_contain"	""	"Може містити:"
"label_moon_length"	""	"Тривалість дня"
"label_moon_length_long"	""	"Довгий"
"label_moon_length_normal"	""	"Нормальний"
"label_moon_length_short"	""	"Короткий"
"label_moon_length_tooltip"	""	"Тривалість дня, довше - легше"
"label_music"	""	"Музика: [on_off]"
"label_new"	""	"Нове!"
"label_new_cards_found"	""	"<one>1 нова карта знайдена<other>[count] нових карт знайдено"
"label_new_pack_unlocked"	""	"Новий пакунок розблоковано"
"label_new_run_confirm"	""	"Ви впевнені, що хочете розпочати новий забіг? Ви втратите весь прогрес у поточному забігу!"
"label_nice"	""	"Чудово!"
"label_no"	""	"Ні"
"label_off"	""	"Вимк."
"label_okay"	""	"Добре"
"label_on"	""	"Увімк."
"label_options"	""	"Налаштування"
"label_pack_now_available"	""	"[pack] пакунок вже доступний!"
"label_paused"	""	"Призупинено"
"label_peaceful_mode"	""	"Мирний режим"
"label_peaceful_mode_tooltip"	""	"В мирному режимі немає ворогів"
"label_quest"	""	"Доручення"
"label_quest_completed"	""	"Доручення виконано"
"label_quest_not_possible_in_peaceful"	""	"Недоступно в мирному режимі"
"label_quests"	""	"Доручення"
"label_quests_completed"	""	"<one>1 доручення виконано<other>[count] доручень виконано"
"label_quit"	""	"Вийти"
"label_resolution"	""	"Роздільність: [width]x[height]"
"label_resolutions_title"	""	"Роздільність"
"label_seconds_format"	""	"[seconds]с"
"label_seconds_left_format"	""	"[seconds]с залишилося"
"label_select_language"	""	"Вибрати мову"
"label_sell"	""	"Продати"
"label_sell_cards_to_continue"	""	"Продайте карти, щоб продовжити"
"label_sell_x_cards"	""	"<one>Продайте 1 карту<other>Продайте [count] карток"
"label_sellbox_title"	""	"Продавання карт"
"label_sfx"	""	"Звукові ефекти: [on_off]"
"label_stack_of_cards"	""	"Стек карт"
"label_start_new_moon"	""	"Почати новий день"
"label_start_new_run"	""	"Почати новий забіг"
"label_start_of_moon"	""	"Почати день [moon]"
"label_start_run"	""	"Почати забіг"
"label_start_the_ritual"	""	"Почати ритуал"
"label_strange_portal_appeared"	""	"З'явився дивний портал"
"label_time_to_eat"	""	"Час їсти"
"label_timetext"	""	"День [moon]"
"label_timetext_peaceful"	""	"День [moon] - Мирний режим"
"label_toggle_panel_title"	""	"Вмикнути панель"
"label_too_many_cards"	""	"<one>Ви маєте на 1 карту більше!<other>Ви маєте на [count] карт більше!"
"label_travelling_cart_appeared"	""	"З'явився мандрівний візок"
"label_uh_oh"	""	"Ох ох"
"label_undiscovered_cards"	""	"<one>1 недосліджена карта<other>[count] недосліджених карт"
"label_well_done"	""	"Молодець!"
"label_yes"	""	"Так"
"label_you_killed_the_demon"	""	"Ви вбили демона!"
"label_you_reached_moon"	""	"Ви досягли [moon] дня "
"pack_a_new_world_text"	"Name of your first Card Pack"	"Новий світ"
"pack_cuisine_text"	"Name of a Card Pack related to Cooking"	"Цікава кухня"
"pack_explorers_text"	"Name of a Card Pack related to Exploring"	"Дослідники"
"pack_farming_text"	"Name of a Card Pack related to Farming"	"Жни і сій"
"pack_humble_beginnings_text"	"Name of a Card Pack related to Beginning"	"Скромний початок"
"pack_logic_reason_text"	"Name of a Card Pack related to Ideas"	"Логіка та мислення"
"pack_order_structure_text"	"Name of a Card Pack related to Ideas"	"Порядок і структура"
"pack_seeking_wisdom_text"	"Name of a Card Pack related to Ideas"	"У пошуках мудрості"
"quest_3_villagers_text"	""	"Отримати 3 селянина"
"quest_bring_goblet_text"	""	"Принести Кубок до Храму"
"quest_build_3_houses_text"	""	"Мати 3 будинки"
"quest_build_farm_text"	""	"Побудувати ферму"
"quest_build_house_text"	""	"Побудувати дім"
"quest_build_temple_text"	""	"Побудувати храм"
"quest_buy_booster_text"	"Name used in pack_a_new_world_text key"	"Купити пакунок ""Скромний початок"""
"quest_buy_from_travelling_cart_text"	""	"Купити щось з мандрівного візка"
"quest_carve_stick_text"	""	"Виготовити палицю з дерева"
"quest_cook_frittata_text"	""	"Приготувати фриттату"
"quest_cook_meat_text"	""	"Приготувати сире м'ясо"
"quest_cook_omelette_text"	""	"Приготувати омлет"
"quest_create_brickyard_text"	""	"Побудувати цегельний завод"
"quest_create_lumbercamp_text"	""	"Побудувати лісозаготівельний табір"
"quest_create_offspring_text"	""	"Створити потомство"
"quest_create_quarry_text"	""	"Побудувати кар'єр"
"quest_create_shed_text"	""	"Побудувати сарай"
"quest_explore_forest_text"	""	"Дослідити ліс"
"quest_explore_mountain_text"	""	"Дослідити гору"
"quest_find_catacombs_text"	""	"Знайти катакомби"
"quest_find_goblet_text"	""	"Знайти містичний артефакт"
"quest_find_graveyard_text"	""	"Знайти кладовище"
"quest_get_a_dog_text"	""	"Отримати собаку"
"quest_get_iron_bar_text"	""	"Отримати залізний зливок"
"quest_have_gold_text"	""	"Мати [count] монет"
"quest_have_10_ideas_text"	""	"Мати 10 ідей"
"quest_have_10_stone_text"	""	"Мати 10 каменю"
"quest_have_10_wood_text"	""	"Мати 10 дерева"
"quest_have_food_text"	""	"Мати [count] їжі"
"quest_have_5_ideas_text"	""	"Мати 5 ідей"
"quest_kill_a_rat_text"	""	"Вбити пацюка"
"quest_kill_a_skeleton_text"	""	"Вбити скелета"
"quest_kill_demon_text"	""	"Вбити демона"
"quest_open_starter_pack_text"	""	"Open the Booster Pack"
"quest_open_treasure_chest_text"	""	"Відкрити скриню скарбів"
"quest_pick_berrybush_text"	""	"Перемістити селянина на ягідний кущ"
"quest_reach_month_text"	""	"Досягнути дня [count]"
"quest_second_villager_text"	""	"Отримайте другого селянина"
"quest_sell_at_market_text"	""	"Продайте картку на ринку"
"quest_sell_card_text"	""	"Продайте картку"
"quest_start_campfire_text"	""	"Розпаліть багаття"
"quest_train_explorer_text"	""	"Натренеруйте дослідника"
"quest_train_militia_text"	""	"Натренеруйте воїна"
"quest_unlock_all_packs_text"	""	"Розблокуйте всі пакунки"
"new_creating_graveyard"	""	"Створення кладовища"
"new_selling_card"	""	"Продавання [card]"
"new_portal_shaking"	""	"Портал трясеться"
"new_growing_up"	""	"Зрощення"
"card_aquarium_description"	""	"Може вміщувати 5 риб"
"card_aquarium_name"	""	"Акваріум"
"card_banana_description"	""	"Всіми улюблений жовтий фрукт"
"card_banana_name"	""	"Банан"
"card_banana_tree_description"	""	"Зроблене з бананів"
"card_banana_tree_name"	""	"Бананове дерево"
"card_banana_tree_status"	""	"Б'є бананове дерево"
"card_boat_status"	""	"Відпливаємо"
"card_bottle_of_rum_description"	""	"Будьте обережні: робить селянинів п'яними!"
"card_bottle_of_rum_name"	""	"Пляшка рому"
"card_bottle_of_water_description"	""	"Прозора пляшка, наповнена прозорою рідиною"
"card_bottle_of_water_name"	""	"Пляшка води"
"card_captain_description"	""	"Експерт з морських подорожей, відпливає швидше"
"card_captain_name"	""	"Капітан"
"card_cathedral_description"	""	"Важливе місце поклоніння. Йому потрібна реліквія."
"card_cathedral_name"	""	"Собор"
"card_cave_description"	""	"У них пірати зберігали свої карти скарбів..."
"card_cave_name"	""	"Печера"
"card_cave_status"	""	"Дослідження печери"
"card_ceviche_description"	""	"Кисла риба, що тут може не сподобатися"
"card_ceviche_name"	""	"Севіче"
"card_charcoal_description"	""	"Діє як антидот проти зміїної отрути"
"card_charcoal_name"	""	"Деревне вугілля"
"card_chili_pepper_description"	""	"Приємний і гострий"
"card_chili_pepper_name"	""	"Перець чилі"
"card_coconut_description"	""	"Це фрукт, не горіх!"
"card_coconut_name"	""	"Кокос"
"card_coconut_piece_description"	""	"Тропіки!"
"card_coconut_piece_name"	""	"Шматочок кокоса"
"card_coconut_tree_description"	""	"Зроблене з кокоса"
"card_coconut_tree_name"	""	"Кокосове дерево"
"card_coconut_tree_status"	""	"Б'є кокосове дерево"
"card_cod_name"	""	"Тріска"
"card_coin_chest_description"	""	"Скриня, що може зберігати монети"
"card_coin_chest_description_long"	""	"Скриня, що може зберігати монети. Натисніть, щоб вийняти монети. Містить [count]/[max_count][goldicon]"
"card_coin_chest_name"	""	"Скриня монет"
"card_composter_description"	""	"Перетворює 5 їжі в ґрунт"
"card_composter_name"	""	"Компостер"
"card_cooked_crab_meat_description"	""	"Модний"
"card_cooked_crab_meat_name"	""	"Приготований краб"
"card_cooked_fish_description"	""	"Я відчуваю смак слідів від гриля"
"card_cooked_fish_name"	""	"Риба-гриль"
"card_cotton_description"	""	"Природна вовна"
"card_cotton_name"	""	"Бавовна"
"card_cotton_plant_description"	""	"Може бути зібрана з бавовни"
"card_cotton_plant_name"	""	"Бавовняна рослина"
"card_cotton_plant_status"	""	"Збирання бавовни"
"card_crab_description"	""	"Чому все еволюціонує в крабів?"
"card_crab_name"	""	"Краб"
"card_demon_lord_description"	""	"Фінал, фінальний бос!"
"card_demon_lord_name"	""	"Лорд демонів"
"card_distillery_description"	""	"Використовується для виготовлення алкоголю"
"card_distillery_name"	""	"Перегонний апарат"
"card_driftwood_description"	""	"Купа деревини, яку викинуло на берег"
"card_driftwood_name"	""	"Корчі"
"card_driftwood_status"	""	"Порпання у корчах"
"card_eel_description"	""	"Електрична морська змія"
"card_eel_name"	""	"Вугор"
"card_empty_bottle_description"	""	"Зроблена з скла. Може бути поповнена!"
"card_empty_bottle_name"	""	"Порожня пляшка"
"card_fabric_description"	""	"Волокна. Разом. Сильні."
"card_fabric_name"	""	"Тканина"
"card_fish_trap_description"	""	"Потребує їжу для приманки"
"card_fish_trap_name"	""	"Пастка для риби"
"card_fish_trap_status"	""	"Ловіння риби"
"card_fisher_description"	""	"Експерт з очікування. Риби бояться його"
"card_fisher_name"	""	"Рибак"
"card_fishing_rod_description"	""	"Дайте це селянину, щоб він став рибаком"
"card_fishing_rod_name"	""	"Вудочка"
"card_fishing_spot_description"	""	"Водойма, наповнена рибою"
"card_fishing_spot_name"	""	"Рибальське місце"
"card_fishing_spot_status"	""	"Риболовим"
"card_friendly_pirate_description"	""	"Він приєднався до вас"
"card_friendly_pirate_name"	""	"Дружелюбний пірат"
"card_frigate_description"	""	"Може перевозити 25 карток. Потребує селянина для відплиття. Не може перевозити будівлі"
"card_frigate_name"	""	"Фригат"
"card_glass_description"	""	"Прозорий ресурс"
"card_glass_name"	""	"Скло"
"card_gold_bar_description"	""	"Дуже блискучий та цінний"
"card_gold_bar_name"	""	"Золотий злиток"
"card_gold_deposit_description"	""	"Містить золото"
"card_gold_deposit_name"	""	"Родовище золота"
"card_gold_deposit_status"	""	"Видобуток родовища золота"
"card_gold_mine_description"	""	"Нескінченне джерело золотої руди"
"card_gold_mine_name"	""	"Золота копальня"
"card_gold_mine_status"	""	"Працює на золотій копальні"
"card_gold_ore_description"	""	"Може бути перероблена на золоті злитки"
"card_gold_ore_name"	""	"Золота руда"
"card_goop_description"	""	"Каша, мул, бруд: це зіпсована їжа"
"card_goop_name"	""	"Бридота"
"card_greenhouse_description"	""	"Високотехнологічна будівля для вирощування їжі. Автоматично засаджує посадки після збору."
"card_greenhouse_name"	""	"Теплиця"
"card_island_relic_description"	""	"Принесіть її до собору"
"card_island_relic_name"	""	"Острівна реліквія"
"card_jungle_description"	""	"A forest known for books"
"card_jungle_name"	""	"Джунглі"
"card_jungle_status"	""	"Дослідження джунглів"
"card_kraken_description"	""	"Злиться, що ви забрали його реліквію."
"card_kraken_name"	""	"Кракен"
"card_lime_description"	""	"Кисло-солодкий"
"card_lime_name"	""	"Лайм"
"card_mackerel_name"	""	"Скумбрія"
"card_mess_hall_description"	""	"Селяни надаватимуть перевагу їжі, що лежить на їдальні"
"card_mess_hall_name"	""	"Їдальня"
"card_message_in_a_bottle_description"	""	"Здається, в ній є Ідея"
"card_message_in_a_bottle_name"	""	"Повідомлення в пляшці"
"card_message_in_a_bottle_status"	""	"Відкриття банки"
"card_mine_description"	""	"Нескінченне джерело залізної руди"
"card_mine_name"	""	"Залізна шахта"
"card_mine_status"	""	"Працює на золотій копальні"
"card_momma_crab_description"	""	"Може, не варто було вбивати тих крабів?"
"card_momma_crab_name"	""	"Мама-краб"
"card_monkey_description"	""	"Дуже любить банани"
"card_monkey_name"	""	"Мавпочка"
"card_parrot_description"	""	"Розмовляє як людина, літає як птах. Робить піратів щасливими."
"card_parrot_name"	""	"Папуга"
"card_pirate_boat_description"	""	"Човен повен піратів"
"card_pirate_boat_name"	""	"Човен піратів"
"card_pirate_boat_status"	""	"Ми дамо вам спокій за [count] монет."
"card_pirate_description"	""	"Кремезний розлючений моряк"
"card_pirate_name"	""	"Пірат"
"card_raw_crab_meat_description"	""	"Треба приготувати перед вживанням"
"card_raw_crab_meat_name"	""	"Сире м'ясо краба"
"card_raw_fish_description"	""	"Вона слизька"
"card_raw_fish_name"	""	"Сира риба"
"card_rope_description"	""	"Довга і волокниста"
"card_rope_name"	""	"Мотузка"
"card_rowboat_description"	""	"Може перевозити 1 карту. Потребує селянина для відплиття. Не може перевозити будівлі."
"card_rowboat_name"	""	"Весловий човен"
"card_sacred_chest_description"	""	"Необхідний Священний ключ, щоб відкрити"
"card_sacred_chest_name"	""	"Священна скриня"
"card_sacred_key_description"	""	"Виконаний зі скла та золота. Використовується для відкриття Священної скрині."
"card_sacred_key_name"	""	"Священний ключ"
"card_sail_description"	""	"Використовується для створення човнів"
"card_sail_name"	""	"Парус"
"card_sand_description"	""	"Основний інгредієнт для хорошого пляжу"
"card_sand_name"	""	"Пісок"
"card_sand_quarry_description"	""	"Нескінченне джерело піску"
"card_sand_quarry_name"	""	"Піщаний кар'єр"
"card_sand_quarry_status"	""	"Копає в піщаному кар'єрі"
"card_sandstone_description"	""	"Альтернатива каменю. Можна використовувати для всього, що потребує камінь."
"card_sandstone_name"	""	"Піщаник"
"card_seafood_stew_description"	""	"Delicious Island stew"
"card_seafood_stew_name"	""	"Рагу з морепродуктів"
"card_seagull_description"	""	"Зла птаха"
"card_seagull_name"	""	"Мартин"
"card_seaweed_description"	""	"Морський салат"
"card_seaweed_name"	""	"Водорості"
"card_shark_description"	""	"Різновид великої розлюченої риби"
"card_shark_name"	""	"Акула"
"card_sheep_description"	""	"Пухнаста!"
"card_sheep_name"	""	"Вівця"
"card_shell_chest_description"	""	"Скриня для мушель"
"card_shell_chest_description_long"	""	"Скриня для мушель. Натисніть, щоб вийняти мушлі. Містить [count]/[max_count][shellicon]"
"card_shell_chest_name"	""	"Скриня мушель"
"card_shell_description"	""	"Основна валюта на острові"
"card_shell_name"	""	"Мушля"
