"Term"	"Notes"	"English"	"Ukrainian"
"card_garden_description"	""	"A simple building for growing Food"	"Проста будівля для вирощування їжі"
"card_garden_name"	""	"Garden"	"Сад"
"card_giant_rat_description"	""	"Big version of a small Rat"	"Велика версія маленького щура"
"card_giant_rat_name"	""	"Giant Rat"	"Гігантський щур"
"card_goblet_description"	""	"A mysterious object"	"Містичний об'єкт"
"card_goblet_name"	""	"Golden Goblet"	"Золотий кубок"
"card_goblin_description"	""	"A monster with bad posture"	"Монстр з поганою поставою"
"card_goblin_name"	""	"Goblin"	"Ґоблін"
"card_gold_description"	""	"Humanity's best friend"	"Найкращий друг людства"
"card_gold_name"	""	"Coin"	"Монетка"
"card_graveyard_description"	""	"Very different from a normal yard"	"Дуже відрізняється від звичайного кладу"
"card_graveyard_name"	""	"Graveyard"	"Кладовище"
"card_graveyard_status"	""	"Exploring Graveyard"	"Дослідження кладовища"
"card_house_description"	""	"A nice place to live"	"Приємне місце для життя"
"card_house_name"	""	"House"	"Дім"
"card_iron_bar_description"	""	"A shiny, valuable material"	"Блискучий, цінний матеріал"
"card_iron_bar_name"	""	"Iron Bar"	"Залізний злиток"
"card_iron_deposit_description"	""	"Contains Iron Ore"	"Містить залізну руду"
"card_iron_deposit_name"	""	"Iron Deposit"	"Родовище заліза"
"card_iron_deposit_status"	""	"Punching Deposit"	"Видобуває родовище"
"card_iron_ore_description"	""	"Can be turned into Iron Bars"	"Може бути перетворена в залізні злитки"
"card_iron_ore_name"	""	"Iron Ore"	"Залізна руда"
"card_key_description"	""	"I wonder what it's for.."	"Цікаво для чого це..."
"card_key_name"	""	"Key"	"Ключ"
"card_kid_description"	""	"A young'un. Needs a House to grow up in."	"Дитинча. Потрібен дім, щоб вирости."
"card_kid_name"	""	"Baby"	"Дитинча"
"card_lumbercamp_description"	""	"An unlimited resource of Wood"	"Нескінченне родовище дерева"
"card_lumbercamp_name"	""	"Lumber Camp"	"Лісозаготівельний табір"
"card_lumbercamp_status"	""	"Logging in Camp"	"Logging in Camp"
"card_map_description"	""	"Use a Map to turn a Villager into an Explorer"	"Використайте мапу, щоб перетворити селянина в дослідника"
"card_map_name"	""	"Map"	"Мапа"
"card_market_name"	""	"Market"	"Ринок"
"card_militia_name"	""	"Militia"	"Воїн"
"card_milk_description"	""	"Fresh from the Cow"	"Щойно від корови"
"card_milk_name"	""	"Milk"	"Молоко"
"card_milkshake_description"	""	"It's Berry flavoured"	"Зі смаком ягід"
"card_milkshake_name"	""	"Milkshake"	"Молочний коктель"
"card_mountain_description"	""	"A hill with a pointy edge"	"Пагорб із загостреним краєм"
"card_mountain_name"	""	"Mountain"	"Гора"
"card_mountain_status"	""	"Exploring Mountain"	"Дослідження гори"
"card_mushroom_description"	""	"An edible fungus"	"Їстівний гриб"
"card_mushroom_name"	""	"Mushroom"	"Гриб"
"card_old_tome_description"	""	"A book with some Idea in it"	"Книга з деякими ідеями"
"card_old_tome_name"	""	"Old Tome"	"Old Tome"
"card_old_tome_status"	""	"Studying Old Tome"	"Вивчення старого тому"
"card_old_village_description"	""	"A person is rumored to still live here.."	"Подейкують, що тут досі живе людина..."
"card_old_village_name"	""	"Old Village"	"Старе селище"
"card_old_village_status"	""	"Exploring Old Village"	"Дослідження старого селища"
"card_omelette_description"	""	"Pépin would be proud"	"Пепін пишався б"
"card_omelette_name"	""	"Omelette"	"Омлет"
"card_onion_description"	""	"Can be eaten raw or can be cooked, whichever you prefer"	"Можна їсти сирим або можна приготувати, як вам більше подобається"
"card_onion_name"	""	"Onion"	"Цибуля"
"card_plains_description"	""	"The great outdoors"	"Чудовий краєвид"
"card_plains_name"	""	"Plains"	"Рівнини"
"card_plains_status"	""	"Exploring Plains"	"Дослідження рівнин"
"card_plank_description"	""	"A strong building material"	"Міцний будівельний матеріал"
"card_plank_name"	""	"Plank"	"Дошка"
"card_poop_description"	""	"It looks stinky"	"Виглядає смердючим"
"card_poop_name"	""	"Poop"	"Лайно"
"card_potato_description"	""	"Smooth and starchy, but should be cooked first"	"Гладка та крохмалиста, але її слід спочатку зварити"
"card_potato_name"	""	"Potato"	"Картопля"
"card_quarry_description"	""	"An unlimited resource of Stone"	"Безкінечне родовище каменю"
"card_quarry_name"	""	"Quarry"	"Кар'єр"
"card_quarry_status"	""	"Mining in Quarry"	"Видобування в кар'єрі"
"card_rabbit_description"	""	"Fluffy poop machine"	"Пухнаста машинка по виробленню лайна"
"card_rabbit_name"	""	"Rabbit"	"Кролик"
"card_rat_description"	""	"Small version of a Giant Rat"	"Маленька версія гігантського щура"
"card_rat_name"	""	"Rat"	"Пацюк"
"card_raw_meat_description"	""	"Should be cooked first"	"Варто спочатку приготувати"
"card_raw_meat_name"	""	"Raw Meat"	"Сире м'ясо"
"card_rock_description"	""	"It looks sturdy, yet punchable"	"Виглядає міцно, але легко пробивається"
"card_rock_name"	""	"Rock"	"Камінь"
"card_rock_status"	""	"Punching Rock"	"Б'є камінь"
"card_sawmill_description"	""	"Quickly turns Wood into Planks"	"Швидко перероблює дерево в дошки"
"card_sawmill_name"	""	"Sawmill"	"Лісопильня"
"card_shed_description"	""	"Increases your Card Cap by 4"	"Підвищує ваш ліміт карт на 4"
"card_shed_name"	""	"Shed"	"Сарай"
"card_skeleton_description"	""	"A monster consisting of a set of bones"	"Монстр, що складається з набору кісток"
"card_skeleton_name"	""	"Skeleton"	"Скелет"
"card_slime_description"	""	"3 small slimes in a trench coat"	"Три маленькі слайми в пальто"
"card_slime_name"	""	"Slime"	"Слайм"
"card_small_slime_description"	""	"A goodie-filled goo"	"A goodie-filled goo"
"card_small_slime_name"	""	"Small Slime"	"Маленький слайм"
"card_soil_description"	""	"A simple and slow way of growing Food"	"Простий та повільний спосіб вирощування їжі"
"card_soil_name"	""	"Soil"	"Ґрунт"
"card_spear_description"	""	"Stick with a pointy end"	"Паличка із загостреним кінцем"
"card_spear_name"	""	"Spear"	"Спис"
"card_stew_description"	""	"A hearty meal"	"Ситний обід"
"card_stew_name"	""	"Stew"	"Тушковане м'ясо"
"card_stick_description"	""	"Used to be part of a Tree"	"Раніше була частиною дерева"
"card_stick_name"	""	"Stick"	"Палиця"
"card_stone_description"	""	"A simple resource"	"Простий ресурс"
"card_stone_name"	""	"Stone"	"Камінь"
"card_stove_description"	""	"Cooks faster than a Campfire"	"Готує швидше, ніж багаття"
"card_stove_name"	""	"Stove"	"Плита"
"card_sword_description"	""	"An Iron Bar with a pointy end"	"Залізний пруток із загостреним кінцем"
"card_sword_name"	""	"Sword"	"Меч"
"card_swordsman_name"	""	"Swordsman"	"Мечник"
"card_temple_description"	""	"An important place of worship. It needs a mysterious artifact."	"Важливе місце поклоніння. Йому потрібен таємничий артефакт."
"card_temple_name"	""	"Temple"	"Храм"
"card_travelling_cart_description"	""	"Give me 5 Coins and I'll give you a Card!"	"Дай мені 5 монет і я дам тобі карту!"
"card_travelling_cart_name"	""	"Travelling Cart"	"Мандрівний візок"
"card_treasure_chest_description"	""	"It's locked"	"Вона замкнута"
"card_treasure_chest_name"	""	"Treasure Chest"	"Скриня зі скарбами"
"card_tree_description"	""	"Made of Wood and Sticks"	"З дерева та паличок"
"card_tree_name"	""	"Tree"	"Дерево"
"card_tree_status"	""	"Punching Tree"	"Б'є дерево"
"card_villager_description"	""	"A hard-working pioneer"	"Працьовитий першопроходець"
"card_villager_name"	""	"Villager"	"Селянин"
"card_warehouse_description"	""	"Increases your Card Cap by 14"	"Збільшує ваш ліміт карт на 14"
"card_warehouse_name"	""	"Warehouse"	"Склад"
"card_wolf_description"	""	"It looks vicious"	"Виглядає зловісно"
"card_wolf_name"	""	"Wolf"	"Вовк"
"card_wood_description"	""	"A simple resource"	"Простий ресурс"
"card_wood_name"	""	"Wood"	"Дерево"
"cardtype_food"	""	"Food"	"Їжа"
"cardtype_ideas"	""	"Ideas"	"Ідеї"
"cardtype_locations"	""	"Locations"	"Локації"
"cardtype_mobs"	""	"Mobs"	"Істоти"
"cardtype_resources"	""	"Resources"	"Ресурси"
"cardtype_structures"	""	"Structures"	"Структури"
"idea_animalpen_status_0"	""	"Building an Animal Pen"	"Будівництво загону для тварин"
"idea_brick_status_0"	""	"Creating Brick"	"Створення цеглини"
"idea_brickyard_status_0"	""	"Building a Brickyard"	"Будівництво цегельного заводу"
"idea_campfire_status_0"	""	"Starting a Campfire"	"Розпалення багаття"
"idea_carving_status_0"	""	"Creating a Stick"	"Створення палиці"
"idea_chicken_status_0"	""	"Chicken is brooding"	"Chicken is brooding"
"idea_coinchest_status_0"	""	"Making a Coin Chest"	"Створення скрині для монет"
"idea_cookedmeat_status_0"	""	"Cooking Meat"	"Приготування м'яса"
"idea_farm_status_0"	""	"Building a Farm"	"Будівництво ферми"
"idea_frittata_status_0"	""	"Cooking Frittata"	"Приготування фриттати"
"idea_fruitsalad_status_0"	""	"Making a Fruit Salad"	"Приготування фруктового салату"
"idea_garden_status_0"	""	"Building a Garden"	"Будівництво саду"
"idea_growth_name"	""	"Growth"	"Садівництво"
"idea_growth_status_0"	""	"Growing a Berry Bush"	"Вирощування ягідного куща"
"idea_growth_status_1"	""	"Growing an Apple Tree"	"Вирощування яблуні"
"idea_growth_status_2"	""	"Growing Carrots"	"Вирощування моркви"
"idea_growth_status_3"	""	"Growing Onions"	"Вирощування цибулі"
"idea_growth_status_4"	""	"Growing Potatoes"	"Вирощування картоплі"
"idea_growth_status_5"	""	"Growing Mushrooms"	"Вирощування грибів"
"idea_house_status_0"	""	"Building a House"	"Будівництво будинку"
"idea_ironweapons_status_0"	""	"Creating Sword"	"Створення меча"
"idea_ironweapons_status_1"	""	"Training Swordsman"	"Тренування мечника"
"idea_lumbercamp_status_0"	""	"Building a Lumber Camp"	"Будівництво лісозаготівельного табору"
"idea_market_status_0"	""	"Building a Market"	"Будівництво ринку"
"idea_milkshake_status_0"	""	"Making a Milkshake"	"Приготування молочного коктейлю"
"idea_mine_status_0"	""	"Building a Mine"	"Будівництво шахти"
"idea_offspring_name"	""	"Offspring"	"Розмноження"
"idea_offspring_status_0"	""	"Creating Offspring"	"Створення потомства"
"idea_offspring_status_1"	""	"Creating Puppy"	"Створення цуценя"
"idea_omelette_status_0"	""	"Cooking an Omelette"	"Приготування омлета"
"idea_planks_status_0"	""	"Creating Plank"	"Створення дошок"
"idea_quarry_status_0"	""	"Building a Quarry"	"Будівництво кар'єра"
"idea_sawmill_status_0"	""	"Building a Sawmill"	"Будівництво лісопилки"
"idea_shed_status_0"	""	"Building a Shed"	"Будівництво сараю"
"idea_smelting_status_0"	""	"Building a Smelter"	"Будівництво металургійного заводу"
"idea_smelting_status_1"	""	"Smelting Iron"	"Виплавка заліза"
"idea_stew_status_0"	""	"Cooking a Stew"	"Приготування тушкованого м'яса"
"idea_stove_status_0"	""	"Building a Stove"	"Будівництво плити"
"idea_temple_status_0"	""	"Building a Temple"	"Будівництво храму"
"idea_warehouse_status_0"	""	"Building a Warehouse"	"Будівництво складу"
"idea_woodenweapons_status_0"	""	"Creating a Spear"	"Створення спису"
"idea_woodenweapons_status_1"	""	"Training Militia"	"Тренування воїна"
"idea_woodenweapons_status_2"	""	"Training Explorer"	"Тренування дослідника"
"ideagroup_basic"	""	"Basic"	"Базові"
"ideagroup_building"	""	"Building"	"Будівлі"
"ideagroup_cooking"	""	"Cooking"	"Кулінарія"
"ideagroup_military"	""	"Military"	"Військові"
"ideagroup_resources"	""	"Resources"	"Ресурси"
"label_an_idea"	""	"An Idea"	"Ідея"
"label_back"	""	"Back"	"Назад"
"label_back_to_menu"	""	"Back to menu"	"Назад в меню"
"label_buy_packs_to_find_idea"	""	"Buy Packs to find this Idea"	"Придбайте пакунки, щоб знайти цю ідею"
"label_cant_be_sold"	""	"Can't be sold"	"Неможливо продати"
"label_card_not_found"	""	"Card not yet found"	"Картку ще не знайдено"
"label_cardopedia"	"The in-game encyclopedia for cards"	"Cardopedia"	"Картопедія"
"label_cards_found"	""	"[found]/[total] Cards Found"	"Карток знайдено: [found]/[total]"
"label_cards_infobox"	""	"Your current maximum amount of Cards is [max_card_count]. You have [card_count] [cardicon] (does not include Coins)"	"Ваша максимальна кількість карт - [max_card_count]. Ви маєте [card_count] [cardicon] (Не включаючи монети)"
"label_cards_infobox_warning"	""	"You have too many [cardicon]. Get rid of Cards or you'll have to sell Cards at the end of the Moon!"	"У вас забагато [cardicon]. Позбудьтеся карт або вам прийдеться їх продати наприкінці дня!"
"label_clear_save"	""	"Clear Save"	"Очистити збереження"
"label_clear_save_confirm"	""	"Are you sure you want to clear your save?"	"Ви впевнені, що хочете очистити своє збереження?"
"label_click_this_pack"	""	"Click this Pack to get Cards!"	"Клацність на пакунок, щоб отримати карти!"
"label_coin_infobox_text"	""	"The total amount of Coins you have"	"Загальна кількість монет, які ви маєте"
"label_coin_infobox_title"	""	"Coins"	"Монети"
"label_combat_speed"	""	"Attack Speed:"	"Швидкість атаки:"
"label_complete_more_quests"	""	"<one>Complete 1 more quest to unlock a new Pack!<other>Complete [remaining] more quests to unlock a new Pack!"	"<one>Завершіть 1 чи більше доручень, щоб розблокувати новий пакунок!<other>Виконайте ще [remaining] доручень, щоб відкрити розблокувати пакунок!"
"label_complete_more_quests_for_pack"	""	"<one>Complete 1 more quest to unlock this Pack!<other>Complete [remaining] more quests to unlock this Pack!"	"<one>Виконайте 1 чи більше доручень, щоб розблокувати цей пакунок!<other>Виконайте ще [remaining] доручень, щоб розблокувати цей пакунок!"
"label_completed_main_quest"	""	"You completed the Main Quest!"	"Ви виконали головне завдання!"
"label_continue"	""	"Continue"	"Продовжити"
"label_continue_run"	""	"Continue Run (Moon [moon])"	"Продовжити (День [moon])"
"label_credits"	""	"Credits"	"Автори"
"label_damage"	""	"Damage:"	"Шкода:"
"label_drag_coins_to_buy_pack"	""	"Drag [cost][goldicon] here to buy this Pack"	"Перенесіть [cost][goldicon] сюди, щоб купити цей пакунок"
"label_drop_to_sell"	""	"Drop to sell for [value]"	"Скиньте, щоб продати за [value]"
"label_eating"	""	"Eating.."	"Поїдання..."
"label_end_of_moon"	""	"End of Moon [moon]"	"Кінець дня [moon]"
"label_everyone_fed"	""	"Everyone was fed!"	"Всі були нагодовані!"
"label_everyone_starved"	""	"Everyone starved to death!"	"Всі померли з голоду!"
"label_feed_villagers"	""	"Feed Villagers"	"Нагодувати селян"
"label_foil"	"Term to describe a ""shiny"" card"	"(foil)"	"(Металева)"
"label_fullscreen"	""	"Fullscreen: [on_off]"	"На весь екран: [on_off]"
"label_game_options"	""	"Game Options"	"Налаштування гри"
"label_game_over"	""	"Game Over"	"Гра завершена"
"label_goblet_brought_to_temple"	""	"The Goblet was brought to the Temple"	"Чашу принесли до Храму"
"label_hit_chance"	""	"Hit Chance:"	"Шанс удару:"
"label_idea_fullname"	""	"Idea: [name]"	"Ідея: [name]"
"label_ideas"	""	"Ideas"	"Ідуї"
"label_ideas_found"	""	"[found]/[total] Ideas Found"	"[found]/[total] ідей знайдено"
"label_keep_playing"	""	"Keep playing to collect every Card!"	"Продовжуйте грати, щоб знайти кожну картку!"
"label_languages_title"	""	"Languages"	"Мови"
"label_may_contain"	""	"May contain:"	"Може містити:"
"label_moon_length"	""	"Moon Length"	"Тривалість дня"
"label_moon_length_long"	""	"Long"	"Довгий"
"label_moon_length_normal"	""	"Normal"	"Нормальний"
"label_moon_length_short"	""	"Short"	"Короткий"
"label_moon_length_tooltip"	""	"The length of a Moon - longer is easier"	"Тривалість дня, довше - легше"
"label_music"	""	"Music: [on_off]"	"Музика: [on_off]"
"label_new"	""	"New!"	"Нове!"
"label_new_cards_found"	""	"<one>1 New Card Found<other>[count] New Cards Found"	"<one>1 нова карта знайдена<other>[count] нових карт знайдено"
"label_new_pack_unlocked"	""	"New Pack Unlocked!"	"Новий пакунок розблоковано"
"label_new_run_confirm"	""	"Are you sure you want to start a new run? You'll lose the progress in your current run!"	"Ви впевнені, що хочете розпочати новий забіг? Ви втратите весь прогрес у поточному забігу!"
"label_nice"	""	"Nice!"	"Чудово!"
"label_no"	""	"No"	"Ні"
"label_off"	""	"Off"	"Вимк."
"label_okay"	""	"Okay"	"Добре"
"label_on"	""	"On"	"Увімк."
"label_options"	""	"Options"	"Налаштування"
"label_pack_now_available"	""	"[pack] Pack is now available!"	"[pack] пакунок вже доступний!"
"label_paused"	""	"Paused"	"Призупинено"
"label_peaceful_mode"	""	"Peaceful Mode"	"Мирний режим"
"label_peaceful_mode_tooltip"	""	"No enemies in Peaceful Mode"	"В мирному режимі немає ворогів"
"label_quest"	""	"Quest"	"Доручення"
"label_quest_completed"	""	"Quest Completed!"	"Доручення виконано"
"label_quest_not_possible_in_peaceful"	""	"Not possible in Peaceful Mode"	"Недоступно в мирному режимі"
"label_quests"	""	"Quests"	"Доручення"
"label_quests_completed"	""	"<one>1 Quest Completed<other>[count] Quests Completed"	"<one>1 доручення виконано<other>[count] доручень виконано"
"label_quit"	""	"Quit"	"Вийти"
"label_resolution"	""	"Resolution: [width]x[height]"	"Роздільність: [width]x[height]"
"label_resolutions_title"	""	"Resolutions"	"Роздільність"
"label_seconds_format"	""	"[seconds]s"	"[seconds]с"
"label_seconds_left_format"	""	"[seconds]s left"	"[seconds]с залишилося"
"label_select_language"	""	"Select Language"	"Вибрати мову"
"label_sell"	""	"Sell"	"Продати"
"label_sell_cards_to_continue"	""	"Sell Cards to continue"	"Продайте карти, щоб продовжити"
"label_sell_x_cards"	""	"<one>Sell 1 Card<other>Sell [count] Cards"	"<one>Продайте 1 карту<other>Продайте [count] карток"
"label_sellbox_title"	""	"Selling Cards"	"Продавання карт"
"label_sfx"	""	"SFX: [on_off]"	"SFX: [on_off]"
"label_stack_of_cards"	""	"Stack of Cards"	"Стек карт"
"label_start_new_moon"	""	"Start New Moon"	"Почати новий день"
"label_start_new_run"	""	"Start New Run"	"Почати новий забіг"
"label_start_of_moon"	""	"Start of Moon [moon]"	"Почати день [moon]"
"label_start_run"	""	"Start Run"	"Почати забіг"
"label_start_the_ritual"	""	"Start the Ritual"	"Почати ритуал"
"label_strange_portal_appeared"	""	"A Strange Portal Appeared"	"З'явився дивний портал"
"label_time_to_eat"	""	"Time to eat"	"Час їсти"
"label_timetext"	""	"Moon [moon]"	"День [moon]"
"label_timetext_peaceful"	""	"Moon [moon] - Peaceful Mode"	"День [moon] - Мирний режим"
"label_toggle_panel_title"	""	"Toggle Panel"	"Вмикнути панель"
"label_too_many_cards"	""	"<one>You have 1 Card too many!<other>You have [count] Cards too many!"	"<one>Ви маєте на 1 карту більше!<other>Ви маєте на [count] карт більше!"
"label_travelling_cart_appeared"	""	"A Travelling Cart Appeared"	"З'явився мандрівний візок"
"label_uh_oh"	""	"Uh oh"	"Ох ох"
"label_undiscovered_cards"	""	"<one>1 undiscovered Card<other>[count] undiscovered Cards"	"<one>1 недосліджена карта<other>[count] недосліджених карт"
"label_well_done"	""	"Well done!"	"Молодець!"
"label_yes"	""	"Yes"	"Так"
"label_you_killed_the_demon"	""	"You killed the Demon!"	"Ви вбили демона!"
"label_you_reached_moon"	""	"You reached Moon [moon]"	"Ви досягли [moon] дня "
"pack_a_new_world_text"	"Name of your first Card Pack"	"A New World"	"Новий світ"
"pack_cuisine_text"	"Name of a Card Pack related to Cooking"	"Curious Cuisine"	"Цікава кухня"
"pack_explorers_text"	"Name of a Card Pack related to Exploring"	"Explorers"	"Дослідники"
"pack_farming_text"	"Name of a Card Pack related to Farming"	"Reap & Sow"	"Жни і сій"
"pack_humble_beginnings_text"	"Name of a Card Pack related to Beginning"	"Humble Beginnings"	"Скромний початок"
"pack_logic_reason_text"	"Name of a Card Pack related to Ideas"	"Logic and Reason"	"Логіка та мислення"
"pack_order_structure_text"	"Name of a Card Pack related to Ideas"	"Order and Structure"	"Порядок і структура"
"pack_seeking_wisdom_text"	"Name of a Card Pack related to Ideas"	"Seeking Wisdom"	"У пошуках мудрості"
"quest_3_villagers_text"	""	"Get 3 Villagers"	"Отримати 3 селянина"
"quest_bring_goblet_text"	""	"Bring the Goblet to the Temple"	"Принести Кубок до Храму"
"quest_build_3_houses_text"	""	"Have 3 Houses"	"Мати 3 будинки"
"quest_build_farm_text"	""	"Build a Farm"	"Побудувати ферму"
"quest_build_house_text"	""	"Build a House"	"Побудувати дім"
"quest_build_temple_text"	""	"Build a Temple"	"Побудувати храм"
"quest_buy_booster_text"	"Name used in ""pack_a_new_world_text"" key"	"Buy the Humble Beginnings Pack"	"Купити пакунок ""Скромний початок"""
"quest_buy_from_travelling_cart_text"	""	"Buy something from a Travelling Cart"	"Купити щось з мандрівного візка"
"quest_carve_stick_text"	""	"Make a Stick from Wood"	"Виготовити палицю з дерева"
"quest_cook_frittata_text"	""	"Cook a Frittata"	"Приготувати фриттату"
"quest_cook_meat_text"	""	"Cook Raw Meat"	"Приготувати сире м'ясо"
"quest_cook_omelette_text"	""	"Cook an Omelette"	"Приготувати омлет"
"quest_create_brickyard_text"	""	"Build a Brickyard"	"Побудувати цегельний завод"
"quest_create_lumbercamp_text"	""	"Build a Lumber Camp"	"Побудувати лісозаготівельний табір"
"quest_create_offspring_text"	""	"Create Offspring"	"Створити потомство"
"quest_create_quarry_text"	""	"Build a Quarry"	"Побудувати кар'єр"
"quest_create_shed_text"	""	"Build a Shed"	"Побудувати сарай"
"quest_explore_forest_text"	""	"Explore a Forest"	"Дослідити ліс"
"quest_explore_mountain_text"	""	"Explore a Mountain"	"Дослідити гору"
"quest_find_catacombs_text"	""	"Find the Catacombs"	"Знайти катакомби"
"quest_find_goblet_text"	""	"Find a mysterious artifact"	"Знайти містичний артефакт"
"quest_find_graveyard_text"	""	"Find a Graveyard"	"Знайти кладовище"
"quest_get_a_dog_text"	""	"Get a Dog"	"Отримати собаку"
"quest_get_iron_bar_text"	""	"Get an Iron Bar"	"Отримати залізний зливок"
"quest_have_gold_text"	""	"Have [count] Coins"	"Мати [count] монет"
"quest_have_10_ideas_text"	""	"Have 10 Ideas"	"Мати 10 ідей"
"quest_have_10_stone_text"	""	"Have 10 Stone"	"Мати 10 каменю"
"quest_have_10_wood_text"	""	"Have 10 Wood"	"Мати 10 дерева"
"quest_have_food_text"	""	"Have [count] Food"	"Мати [count] їжі"
"quest_have_5_ideas_text"	""	"Have 5 Ideas"	"Мати 5 ідей"
"quest_kill_a_rat_text"	""	"Kill a Rat"	"Вбити пацюка"
"quest_kill_a_skeleton_text"	""	"Kill a Skeleton"	"Вбити скелета"
"quest_kill_demon_text"	""	"Kill the Demon"	"Вбити демона"
"quest_open_starter_pack_text"	""	"Open the Booster Pack"	"Open the Booster Pack"
"quest_open_treasure_chest_text"	""	"Open a Treasure Chest"	"Відкрити скриню скарбів"
"quest_pick_berrybush_text"	""	"Drag the Villager on top of the Berry Bush"	"Перемістити селянина на ягідний кущ"
"quest_reach_month_text"	""	"Reach Moon [count]"	"Досягнути дня [count]"
"quest_second_villager_text"	""	"Get a Second Villager"	"Отримайте другого селянина"
"quest_sell_at_market_text"	""	"Sell a Card at a Market"	"Продайте картку на ринку"
"quest_sell_card_text"	""	"Sell a Card"	"Продайте картку"
"quest_start_campfire_text"	""	"Start a Campfire"	"Розпаліть багаття"
"quest_train_explorer_text"	""	"Train an Explorer"	"Натренеруйте дослідника"
"quest_train_militia_text"	""	"Train Militia"	"Натренеруйте воїна"
"quest_unlock_all_packs_text"	""	"Unlock all Packs"	"Розблокуйте всі пакунки"
"new_creating_graveyard"	""	"Creating Graveyard"	"Створення кладовища"
"new_selling_card"	""	"Selling [card]"	"Продавання [card]"
"new_portal_shaking"	""	"The Portal is shaking"	"Портал трясеться"
"new_growing_up"	""	"Growing up"	"Зрощення"
"card_aquarium_description"	""	"Can hold 5 Fish"	"Може вміщувати 5 риб"
"card_aquarium_name"	""	"Aquarium"	"Акваріум"
"card_banana_description"	""	"Everyone's favorite yellow fruit"	"Всіми улюблений жовтий фрукт"
